id|isDemo|region|name
0100509005AF2000|1|XX|The Legend of Zelda™: Breath of the Wild Demo for KIOSK
010050E012BD0000|1|US|Office Lovers
010050E0134F6000|1|JP|Touhou spell bubble
010050E015B06000|1|JP|バンドリ！ ガールズバンドパーティ！ for Nintendo Switch
0100515014A94000|1|US|King of Seas
0100518013CBC000|1|JP|バディミッション BOND
010051B00F2A6000|1|JP|机でラグビー
010051C00F0DA000|1|JP|マリオ&ソニック AT 東京2020オリンピック™
010052400C622000|1|US|Forgotton Anne
010052400CF68000|1|JP|超・逃走中＆超・戦闘中 ダブルパック
0100531016686000|1|US|New York Mysteries: High Voltage
010053600DFA0000|1|JP|夢現Re:Master
01005400145AC000|1|JP|遊戯王ラッシュデュエル 最強バトルロイヤル!!
010054300D288000|1|US|Aces of the Luftwaffe - Squadron
010054500E6D4000|1|US|Ape Out
0100548011954000|1|US|ScourgeBringer
0100549013060000|1|US|KINGDOM HEARTS Melody of Memory
010054D01171C000|1|US|Do Not Feed the Monkeys
01005540111AC000|1|GB|Voxel Pirates
01005590133A8000|1|US|Pixel Puzzle Makeout League
0100566010F3E000|1|US|Explosive Jake
0100566011658000|1|US|NecroWorm
0100568016EAC000|1|US|Work It Out! Job Challenge
010056A01713A000|1|JP|マガツバライ
010056F0134AC000|1|US|EPHEMERAL -FANTASY ON DARK-
010057400FD28000|1|GB|Biz Builder Delux
01005780106E8000|1|US|BurgerTime Party!
010057A011C88000|1|US|BRIGANDINE The Legend of Runersia
010057D00CF10000|1|US|Gelly Break
010059600EF64000|1|JP|ドラえもん のび太の牧場物語
010059A015DD2000|1|US|Have a Blast
010059B0151A2000|1|JP|さかあがりハリケーンPortable
01005A5015D3A000|1|JP|パルフェリメイク
01005A5015D3A000|1|US|Parfait Remake
01005A70096FA000|1|US|Kirby™ Star Allies
01005A801594E000|1|GB|Alex Kidd in Miracle World DX
01005AE00A528000|1|US|Star Ghost
01005AE012136000|1|US|Neon Abyss
01005AF0167C0000|1|US|Instant Sports Paradise
01005B3005D6E000|1|US|League of Evil
01005B800DF58000|1|US|Gakuen Club
